	batch_id	status	size_mb	start_time	finish_time	total_time_sec	total_time_min
3227	3227	DONE	12.520591735839844	1504716543.9940498	1504716555.3202796	11.326229810714722	0.18877049684524536
3479	3479	DONE	25.04195213317871	1504720847.7337828	1504720862.723427	14.989644289016724	0.2498274048169454
3408	3408	DONE	12.521268844604492	1504719514.4190776	1504719524.5919182	10.172840595245361	0.16954734325408935
3493	3493	DONE	12.520553588867188	1504721101.5430107	1504721112.7652423	11.22223162651062	0.187037193775177
3451	3451	DONE	12.519964218139648	1504720348.909339	1504720358.4729576	9.563618659973145	0.15939364433288575
3223	3223	DONE	12.520561218261719	1504716485.4346542	1504716495.468259	10.033604860305786	0.1672267476717631
3558	3558	DONE	9.74868392944336	1504722203.606809	1504722212.8629215	9.256112575531006	0.15426854292551676
3224	3224	DONE	12.52103042602539	1504716500.8496945	1504716510.9586797	10.108985185623169	0.16848308642705281
3279	3279	DONE	12.520654678344727	1504717412.1275282	1504717422.6186378	10.491109609603882	0.17485182682673137
3183	3183	DONE	13.667583465576172	1504715857.7866855	1504715869.245709	11.459023475646973	0.19098372459411622
3215	3215	DONE	14.37666130065918	1504716351.749646	1504716362.087286	10.337640047073364	0.17229400078455606
3214	3214	DONE	12.52003288269043	1504716333.279479	1504716346.3443449	13.064865827560425	0.21774776379267374
3208	3208	DONE	12.520305633544922	1504716246.0101047	1504716255.8895206	9.87941598892212	0.16465693314870197
3188	3188	DONE	12.520950317382812	1504715935.7158723	1504715945.9975967	10.281724452972412	0.17136207421620686
3191	3191	DONE	12.520868301391602	1504715983.8203833	1504715993.5976405	9.777257204055786	0.1629542867342631
3172	3172	DONE	9.749021530151367	1504715649.400576	1504715663.9515553	14.550979137420654	0.2425163189570109
3179	3179	DONE	12.520196914672852	1504715795.4368813	1504715805.377787	9.940905809402466	0.1656817634900411
3477	3477	DONE	14.37226676940918	1504720815.538894	1504720825.8405948	10.301700830459595	0.17169501384099325
3166	3166	DONE	13.61244010925293	1504715558.0079243	1504715568.5881484	10.58022403717041	0.17633706728617352
3202	3202	DONE	14.7513427734375	1504716146.86914	1504716157.5273726	10.658232688903809	0.17763721148173015
3165	3165	DONE	9.748401641845703	1504715543.629249	1504715553.1176498	9.48840069770813	0.15814001162846883
3404	3404	DONE	12.520700454711914	1504719449.9768894	1504719460.1157165	10.138827085494995	0.16898045142491658
3160	3160	DONE	12.667686462402344	1504715458.0259762	1504715468.9037957	10.877819538116455	0.1812969923019409
3200	3200	DONE	12.520332336425781	1504716114.2726364	1504716125.5154462	11.242809772491455	0.1873801628748576
3177	3177	DONE	25.042213439941406	1504715754.9229546	1504715774.1702673	19.247312784194946	0.3207885464032491
3171	3171	DONE	12.522159576416016	1504715635.1324167	1504715644.4579952	9.325578451156616	0.15542630751927694
3161	3161	DONE	15.769966125488281	1504715474.665282	1504715486.4822268	11.81694483757019	0.19694908062616984
3178	3178	DONE	12.5194091796875	1504715779.670704	1504715789.7422745	10.071570634841919	0.16785951058069865
3182	3182	DONE	9.748550415039062	1504715843.0898273	1504715852.4301982	9.340370893478394	0.1556728482246399
3167	3167	DONE	12.520711898803711	1504715573.4809198	1504715582.9440565	9.463136672973633	0.15771894454956054
